|________|________|_______________|_______|____________|__________|
|PID     | PPID   | STATUS        |THREADS| MEMORY     |OPEN FILES|
|________|________|_______________|_______|____________|__________|
|       1|       0|    s(sleeping)|      1|    6.536000|
|       2|       0|    s(sleeping)|      1|    0.000000|
|       3|       2|        i(idle)|      1|    0.000000|
|       4|       2|        i(idle)|      1|    0.000000|
|       6|       2|        i(idle)|      1|    0.000000|
|       8|       2|        i(idle)|      1|    0.000000|
|       9|       2|    s(sleeping)|      1|    0.000000|
|      10|       2|        i(idle)|      1|    0.000000|
|      11|       2|        i(idle)|      1|    0.000000|
|      12|       2|    s(sleeping)|      1|    0.000000|
|      13|       2|    s(sleeping)|      1|    0.000000|
|      14|       2|    s(sleeping)|      1|    0.000000|
|      15|       2|    s(sleeping)|      1|    0.000000|
|      16|       2|        i(idle)|      1|    0.000000|
|      17|       2|    s(sleeping)|      1|    0.000000|
|      18|       2|    s(sleeping)|      1|    0.000000|
|      19|       2|    s(sleeping)|      1|    0.000000|
|      20|       2|    s(sleeping)|      1|    0.000000|
|      21|       2|        i(idle)|      1|    0.000000|
|      22|       2|    s(sleeping)|      1|    0.000000|
|      23|       2|    s(sleeping)|      1|    0.000000|
|      24|       2|    s(sleeping)|      1|    0.000000|
|      25|       2|        i(idle)|      1|    0.000000|
|      26|       2|        i(idle)|      1|    0.000000|
|      27|       2|        i(idle)|      1|    0.000000|
|      28|       2|        i(idle)|      1|    0.000000|
|      29|       2|        i(idle)|      1|    0.000000|
|      30|       2|        i(idle)|      1|    0.000000|
|      31|       2|        i(idle)|      1|    0.000000|
|      32|       2|    s(sleeping)|      1|    0.000000|
|      36|       2|    s(sleeping)|      1|    0.000000|
|      37|       2|        i(idle)|      1|    0.000000|
|      38|       2|    s(sleeping)|      1|    0.000000|
|      83|       2|        i(idle)|      1|    0.000000|
|      84|       2|        i(idle)|      1|    0.000000|
|      85|       2|    s(sleeping)|      1|    0.000000|
|      86|       2|        i(idle)|      1|    0.000000|
|      87|       2|    s(sleeping)|      1|    0.000000|
|      88|       2|        i(idle)|      1|    0.000000|
|      94|       2|        i(idle)|      1|    0.000000|
|     103|       2|        i(idle)|      1|    0.000000|
|     120|       2|        i(idle)|      1|    0.000000|
|     158|       2|    s(sleeping)|      1|    0.000000|
|     160|       2|        i(idle)|      1|    0.000000|
|     162|       2|        i(idle)|      1|    0.000000|
|     183|       2|    s(sleeping)|      1|    0.000000|
|     184|       2|        i(idle)|      1|    0.000000|
|     222|       1|    s(sleeping)|      1|    8.060000|
|     248|       1|    s(sleeping)|      1|    3.496000|
|     253|       2|    s(sleeping)|      1|    0.000000|
|     255|       2|    s(sleeping)|      1|    0.000000|
|     257|       2|    s(sleeping)|      1|    0.000000|
|     259|       2|    s(sleeping)|      1|    0.000000|
|     261|       2|    s(sleeping)|      1|    0.000000|
|     263|       2|    s(sleeping)|      1|    0.000000|
|     265|       2|    s(sleeping)|      1|    0.000000|
|     267|       2|    s(sleeping)|      1|    0.000000|
|     271|       2|    s(sleeping)|      1|    0.000000|
|     273|       2|    s(sleeping)|      1|    0.000000|
|     274|       2|    s(sleeping)|      1|    0.000000|
|     276|       2|    s(sleeping)|      1|    0.000000|
|     277|       2|    s(sleeping)|      1|    0.000000|
|     281|       2|    s(sleeping)|      1|    0.000000|
|     293|       2|    s(sleeping)|      1|    0.000000|
|     298|       2|    s(sleeping)|      1|    0.000000|
|     299|       2|    s(sleeping)|      1|    0.000000|
|     301|       2|    s(sleeping)|      1|    0.000000|
|     303|       2|    s(sleeping)|      1|    0.000000|
|     311|       1|    s(sleeping)|      2|    1.368000|
|     313|       1|    s(sleeping)|      1|    2.452000|
|     383|       2|        i(idle)|      1|    0.000000|
|     408|       2|        i(idle)|      1|    0.000000|
|     528|       1|    s(sleeping)|      3|    2.496000|
|     529|       1|    s(sleeping)|      5|    5.156000|
|     545|       1|    s(sleeping)|      1|    0.084000|
|     546|       1|    s(sleeping)|      1|    3.148000|
|     547|       1|    s(sleeping)|      1|    0.920000|
|     548|       1|    s(sleeping)|      3|    1.808000|
|     558|       1|    s(sleeping)|      1|    0.000000|
|     559|       1|    s(sleeping)|      1|    2.368000|
|     561|       1|    s(sleeping)|      1|    0.540000|
|     562|       1|    s(sleeping)|      4|    0.172000|
|     565|       1|    s(sleeping)|      1|    0.136000|
|     566|       1|    s(sleeping)|      3|    3.184000|
|     672|     561|    s(sleeping)|      1|    0.028000|
|     676|       1|    s(sleeping)|      3|    3.192000|
|     752|       1|    s(sleeping)|      3|    1.784000|
|     777|     752|    s(sleeping)|      3|    0.912000|
|     827|       1|    s(sleeping)|      3|    1.916000|
